team,matches_played,total_goals_scored,total_goals_conceded,goal_difference,team_api_id,team_long_name
8634,304,849,232,617,8634,FC Barcelona
8633,304,843,304,539,8633,Real Madrid CF
9925,304,695,223,472,9925,Celtic
9823,272,653,211,442,9823,FC Bayern Munich
8593,272,647,236,411,8593,Ajax
9772,248,568,186,382,9772,SL Benfica
9773,248,541,161,380,9773,FC Porto
8640,272,652,294,358,8640,PSV
9931,286,619,311,308,9931,FC Basel
10260,304,582,280,302,10260,Manchester United
9847,304,568,267,301,9847,Paris Saint-Germain
8456,304,606,307,299,8456,Manchester City
8455,304,583,286,297,8455,Chelsea
9885,301,543,250,293,9885,Juventus
9789,272,551,282,269,9789,Borussia Dortmund
9825,304,573,320,253,9825,Arsenal
8635,212,427,182,245,8635,RSC Anderlecht
8548,152,324,113,211,8548,Rangers
8673,240,409,204,205,8673,Legia Warszawa
9906,304,524,321,203,9906,Atlético Madrid
9768,248,411,209,202,9768,Sporting CP
8650,304,531,337,194,8650,Liverpool
8611,272,509,319,190,8611,FC Twente
9875,301,514,325,189,9875,Napoli
8564,303,496,312,184,8564,Milan
9748,304,497,316,181,9748,Olympique Lyonnais
8686,303,530,359,171,8686,Roma
8342,212,421,251,170,8342,Club Brugge KV
10235,272,489,325,164,10235,Feyenoord
2182,240,372,210,162,2182,Lech Poznań
8639,304,450,289,161,8639,LOSC Lille
10192,286,529,373,156,10192,BSC Young Boys
8178,272,483,329,154,8178,Bayer 04 Leverkusen
8636,303,496,343,153,8636,Inter
10264,248,398,247,151,10264,SC Braga
8592,304,462,311,151,8592,Olympique de Marseille
10229,272,492,348,144,10229,AZ
9991,218,390,253,137,9991,KAA Gent
8586,304,481,358,123,8586,Tottenham Hotspur
10267,304,484,369,115,10267,Valencia CF
9987,212,348,251,97,9987,KRC Genk
10265,240,332,235,97,10265,Wisła Kraków
8535,300,440,343,97,8535,Fiorentina
10189,272,426,336,90,10189,FC Schalke 04
9985,212,341,254,87,9985,Standard de Liège
8668,304,439,355,84,8668,Everton
8302,304,478,397,81,8302,Sevilla FC
9827,304,404,335,69,9827,Girondins de Bordeaux
10243,286,468,401,67,10243,FC Zürich
8721,272,463,396,67,8721,VfL Wolfsburg
