team,matches_played,total_goals_scored,total_goals_conceded,goal_difference,draw,loss,win,win_rate,avg_goals_scored,avg_goals_conceded,points,points_per_match,team_api_id,team_long_name
8634,304,849,232,617,43,27,234,0.7697368421052632,2.7927631578947367,0.7631578947368421,745,2.450657894736842,8634,FC Barcelona
9773,248,541,161,380,42,23,183,0.7379032258064516,2.181451612903226,0.6491935483870968,591,2.3830645161290325,9773,FC Porto
9772,248,568,186,382,36,27,185,0.7459677419354839,2.2903225806451615,0.75,591,2.3830645161290325,9772,SL Benfica
8633,304,843,304,539,36,40,228,0.75,2.773026315789474,1.0,720,2.3684210526315788,8633,Real Madrid CF
9925,304,695,223,472,50,36,218,0.7171052631578947,2.286184210526316,0.7335526315789473,704,2.3157894736842106,9925,Celtic
8548,152,324,113,211,25,19,108,0.7105263157894737,2.1315789473684212,0.743421052631579,349,2.2960526315789473,8548,Rangers
9823,272,653,211,442,44,35,193,0.7095588235294118,2.400735294117647,0.7757352941176471,623,2.2904411764705883,9823,FC Bayern Munich
8593,272,647,236,411,59,32,181,0.6654411764705882,2.3786764705882355,0.8676470588235294,602,2.213235294117647,8593,Ajax
8635,212,427,182,245,49,27,136,0.6415094339622641,2.0141509433962264,0.8584905660377359,457,2.1556603773584904,8635,RSC Anderlecht
8640,272,652,294,358,47,47,178,0.6544117647058824,2.3970588235294117,1.0808823529411764,581,2.136029411764706,8640,PSV
9931,286,619,311,308,64,42,180,0.6293706293706294,2.164335664335664,1.0874125874125875,604,2.111888111888112,9931,FC Basel
9885,301,543,250,293,66,46,189,0.627906976744186,1.803986710963455,0.8305647840531561,633,2.1029900332225915,9885,Juventus
10260,304,582,280,302,57,55,192,0.631578947368421,1.9144736842105263,0.9210526315789473,633,2.0822368421052633,10260,Manchester United
9768,248,411,209,202,60,44,144,0.5806451612903226,1.657258064516129,0.842741935483871,492,1.9838709677419355,9768,Sporting CP
9847,304,568,267,301,76,53,175,0.5756578947368421,1.868421052631579,0.8782894736842105,601,1.9769736842105263,9847,Paris Saint-Germain
8455,304,583,286,297,70,58,176,0.5789473684210527,1.917763157894737,0.9407894736842105,598,1.9671052631578947,8455,Chelsea
9789,272,551,282,269,62,53,157,0.5772058823529411,2.025735294117647,1.036764705882353,533,1.9595588235294117,9789,Borussia Dortmund
8342,212,421,251,170,40,49,123,0.5801886792452831,1.9858490566037736,1.1839622641509433,409,1.929245283018868,8342,Club Brugge KV
8456,304,606,307,299,61,68,175,0.5756578947368421,1.993421052631579,1.0098684210526316,586,1.9276315789473684,8456,Manchester City
